ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"217.60.184.34","elite","AS212742","TR","PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi","32","Datapenta Limited","5678","socks4","4534","1","2025-04-25T17:18:12.131Z","16","1574","9554"
"91.232.105.85","elite","AS49981","NL","WorldStream B.V.","62","WorldStream B.V","11584","socks4","3578","1","2025-04-25T17:18:11.635Z","100","2380","2380"
"180.105.128.161","elite","AS4134","CN","Chinanet","229","Chinanet JS","8089","http","153","13307","2025-04-25T17:18:11.560Z","95","39","41"
"117.2.56.63","elite","AS7552","VN","Viettel Corporation","244","N/A","5678","socks5","5001","1","2025-04-25T17:18:11.634Z","98","2641","2703"
"221.231.13.198","elite","AS4134","CN","Chinanet","250","N/A","1080","http","44","13212","2025-04-25T17:18:11.630Z","98","40","41"
"192.252.209.155","elite","AS46562","US","Performive LLC","158","Performive LLC","14455","socks4","302","1","2025-04-25T17:18:11.557Z","97","86","89"
"198.240.91.224","elite","AS203999","GB","Geekyworks IT Solutions Pvt Ltd","58","US Net Incorporated","80","socks4","4882","1","2025-04-25T17:18:11.553Z","100","976","976"
"205.178.136.80","elite","AS19871","US","Network Solutions, LLC","100","Network Solutions, LLC","8447","socks4","4119","1","2025-04-25T17:18:11.632Z","100","1469","1471"
"103.214.156.254","elite","AS152177","BD","Fuad Muhammad Shorfuddin","180","N/A","5678","socks4","2284","1","2025-04-25T17:18:11.636Z","93","8921","9597"
"180.105.114.43","elite","AS4134","CN","Chinanet","281","Chinanet JS","8089","http","1792","13307","2025-04-25T17:18:11.626Z","80","28","35"
"43.228.95.138","elite","AS18229","IN","Viswaroopa Info Services India Private ltd","176","Viswaroopa Info Services India Private Ltd","5678","socks4","4191","1","2025-04-25T17:18:11.557Z","99","2218","2230"
"175.110.113.246","elite","AS49981","NL","WorldStream B.V.","60","Worldstream","11140","socks4","4427","1","2025-04-25T17:18:11.552Z","100","2046","2047"
"23.227.38.152","elite","AS13335","CA","Cloudflare, Inc.","4","Shopify, Inc.","80","socks4","4078","1","2025-04-25T17:18:11.554Z","100","831","831"
"103.197.32.205","elite","AS134260","IN","ZERONE Networks pvt ltd","182","ZERONE Networks pvt ltd","5678","socks4","5001","1","2025-04-25T17:18:11.554Z","98","2800","2857"
"115.127.2.228","elite","AS24342","BD","bracNet","179","BRAC BDMail Network Ltd","5678","socks4","4592","1","2025-04-25T17:18:11.634Z","96","2749","2873"
"103.86.1.9","elite","AS136371","IN","Airwir Technologies Private Limited","149","Airwir Technologies Private Limited","4145","socks4","4974","1","2025-04-25T17:18:11.550Z","100","9577","9623"
"147.75.34.83","elite","AS54825","NL","Packet Host, Inc.","63","N/A","10023","socks4","3410","1","2025-04-25T17:18:11.556Z","88","2125","2426"
"103.60.136.129","elite","AS134016","IN","Velocity Internet India Private Ltd","186","Velocity Internet India Private Ltd","4153","socks4","4175","69","2025-04-25T17:18:11.550Z","99","2726","2759"
"182.253.7.146","transparent","AS17451","ID","Biznet Networks","188","Kawan Lama Sejahtera","8180","http","89","13314","2025-04-25T17:18:11.559Z","91","32","35"
"114.130.153.70","transparent","AS45588","BD","Bangladesh Telegraph & Telephone Board","172","Bangladesh Telegraph & Telephone Board","58080","http","194","13304","2025-04-25T17:18:11.628Z","73","16","22"
"222.129.33.67","elite","AS4808","CN","China Unicom Beijing Province Network","208","N/A","1080","socks5","4577","73","2025-04-25T17:18:00.537Z","77","7421","9586"
"46.173.88.125","elite","AS53856","US","NJ IX","86","NJ IX","3128","socks4","2776","61","2025-04-25T17:18:00.459Z","52","157","301"
"182.48.89.101","elite","AS58715","BD","Corporate Office","257","N/A","3629","socks4","3572","1","2025-04-25T17:18:00.535Z","49","4740","9607"
"216.105.130.33","elite","AS20081","US","NET2ATLANTA.COM LLC","114","NET2ATLANTA.COM LLC","39593","socks4","4806","1","2025-04-25T17:18:00.544Z","100","9620","9644"
"47.243.124.21","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","296","Alibaba.com LLC","4040","socks4","4785","1","2025-04-25T17:18:00.446Z","99","2341","2363"
"185.220.101.18","elite","AS60729","DE","Stiftung Erneuerbare Freiheit","16","Artikel10 e.V","9050","socks4","2007","1","2025-04-25T17:18:00.646Z","99","1450","1467"
"103.59.203.161","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","132","NET 4 U Services PVT LTD","4145","socks4","353","1","2025-04-25T17:18:00.532Z","100","1869","1876"
"104.21.194.19","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","socks4","4981","1","2025-04-25T17:18:00.531Z","100","9512","9512"
"15.235.198.202","elite","AS16276","SG","OVH SAS","235","OVH Singapore PTE. LTD","54781","socks4","2788","1","2025-04-25T17:18:00.533Z","88","2511","2845"
"82.223.151.8","elite","AS8560","ES","arsys.es","36","N/A","53347","socks4","4799","1","2025-04-25T17:18:00.647Z","100","649","649"
"103.79.96.190","elite","AS64308","ID","PT IndoDev Niaga Internet","165","PT IndoDev Niaga Internet","4153","socks4","3603","1","2025-04-25T17:18:00.538Z","99","9457","9530"
"77.77.26.152","elite","AS39184","BG","UltraNET Ltd. C44","31","UltraNET Ltd","4153","socks4","4998","1","2025-04-25T17:18:00.450Z","89","2547","2859"
"122.152.53.25","elite","AS38562","BD","Innovative Online Ltd.","194","Innovative Online Ltd.","5678","socks4","4471","1","2025-04-25T17:18:00.645Z","96","9213","9638"
"190.131.227.30","transparent","AS262191","CO","Columbus Networks Colombia","147","Liberty Networks De Colombia","999","http","715","29009","2025-04-25T17:18:00.456Z","100","22","22"
"190.196.20.179","elite","AS14259","CL","Gtd Internet S.A.","213","Intersystems Chile Ltda","80","socks4","1382","1","2025-04-25T17:18:00.538Z","98","2049","2085"
